species,day,time,mq135Value
Mackerel,1,11:24:32.374431,69
Mackerel,1,11:24:33.487467,73
Mackerel,1,11:24:34.680587,76
Mackerel,1,11:24:35.887717,74
Mackerel,1,11:24:37.093846,75
Mackerel,1,11:24:38.298968,71
Mackerel,1,11:24:39.504110,73
Mackerel,1,11:24:40.703209,68
Mackerel,1,11:24:41.914748,69
Mackerel,1,11:24:43.115173,72
Mackerel,1,11:24:44.329978,71
Mackerel,1,11:24:45.533723,72
Mackerel,1,11:24:46.743060,73
Mackerel,1,11:24:47.944601,73
Mackerel,1,11:24:49.139288,69
Mackerel,1,11:24:50.356333,72
Mackerel,1,11:24:51.563507,74
Mackerel,1,11:24:52.767581,74
Mackerel,1,11:24:53.971558,72
Mackerel,1,11:24:55.172205,73
Mackerel,1,11:24:56.382708,73
Mackerel,1,11:25:33.732026,68
Mackerel,1,11:25:34.844622,67
Mackerel,1,11:25:36.027452,74
Mackerel,1,11:25:37.242823,71
Mackerel,1,11:25:38.448242,74
Mackerel,1,11:25:39.648898,68
Mackerel,1,11:25:40.852880,68
Mackerel,1,11:25:42.065751,73
Mackerel,1,11:25:43.260424,72
Mackerel,1,11:25:44.473970,70
Mackerel,1,11:25:45.669661,74
Mackerel,1,11:25:46.880133,74
Mackerel,1,11:25:48.091782,72
Mackerel,1,11:25:49.290553,72
Mackerel,1,11:25:50.496615,71
Mackerel,1,11:25:51.708688,72
Mackerel,1,11:25:52.910121,68
Mackerel,1,11:25:54.111887,72
Mackerel,1,11:25:55.325802,73
Mackerel,1,11:25:56.525174,67
Mackerel,1,11:25:57.726513,71
Mackerel,1,11:26:24.993932,72
Mackerel,1,11:26:26.096964,73
Mackerel,1,11:26:27.302079,75
Mackerel,1,11:26:28.503200,75
Mackerel,1,11:26:29.708312,77
Mackerel,1,11:26:30.915437,75
Mackerel,1,11:26:32.119555,72
Mackerel,1,11:26:33.325675,74
Mackerel,1,11:26:34.532802,75
Mackerel,1,11:26:35.741922,73
Mackerel,1,11:26:36.939040,74
Mackerel,1,11:27:34.611109,70
Mackerel,1,11:27:35.721436,72
Mackerel,1,11:27:36.901920,69
Mackerel,1,11:27:38.112396,74
Mackerel,1,11:27:39.320357,75
Mackerel,1,11:27:40.522916,74
Mackerel,1,11:27:41.732665,74
Mackerel,1,11:27:42.932874,76
Mackerel,1,11:27:44.138496,74
Mackerel,1,11:27:45.351654,73
Mackerel,1,11:27:46.552054,73
Mackerel,1,11:27:47.750714,71
Mackerel,1,11:27:48.960978,76
Mackerel,1,11:27:50.169856,71
Mackerel,1,11:27:51.369231,73
Mackerel,1,11:27:52.584130,72
Mackerel,1,11:27:53.783913,69
Mackerel,1,11:27:54.986510,75
Mackerel,1,11:27:56.194138,72
Mackerel,1,11:27:57.408262,74
Mackerel,1,11:27:58.613271,73
Mackerel,1,11:30:15.930382,67
Mackerel,1,11:30:17.047423,72
Mackerel,1,11:30:18.226526,69
Mackerel,1,11:30:19.436653,71
Mackerel,1,11:30:20.632762,68
Mackerel,1,11:30:21.843886,72
Mackerel,1,11:30:23.053021,72
Mackerel,1,11:30:24.248129,72
Mackerel,1,11:30:25.463249,72
Mackerel,1,11:30:26.670366,71
Mackerel,1,11:30:27.865480,73
Mackerel,1,11:30:29.076609,74
Mackerel,1,11:30:30.275725,74
Mackerel,1,11:30:31.488863,74
Mackerel,1,11:30:32.693989,68
Mackerel,1,11:30:33.899115,75
Mackerel,1,11:30:35.107247,71
Mackerel,1,11:30:36.306357,69
Mackerel,1,11:30:37.515498,74
Mackerel,1,11:30:38.723609,72
Mackerel,1,11:30:39.926257,71
Mackerel,1,11:33:08.095234,70
Mackerel,1,11:33:09.205672,72
Mackerel,1,11:33:10.382251,72
Mackerel,1,11:33:11.596821,71
Mackerel,1,11:33:12.796815,69
Mackerel,1,11:33:14.000746,68
Mackerel,1,11:33:15.201028,69
Mackerel,1,11:33:16.405355,71
Mackerel,1,11:33:17.613615,72
Mackerel,1,11:33:18.828348,72
Mackerel,1,11:33:20.031167,69
Mackerel,1,11:33:21.234339,65
Mackerel,1,11:33:22.442696,69
Mackerel,1,11:33:23.643664,69
Mackerel,1,11:33:24.854482,65
Mackerel,1,11:33:26.057508,69
Mackerel,1,11:33:27.255421,70
Mackerel,1,11:33:28.472199,69
Mackerel,1,11:33:29.671175,69
Mackerel,1,11:33:30.876861,70
Mackerel,1,11:33:32.089417,69
Mackerel,1,11:34:01.715701,68
Mackerel,1,11:34:02.828687,68
Mackerel,1,11:34:04.027809,69
Mackerel,1,11:34:05.226929,71
Mackerel,1,11:34:06.442060,72
Mackerel,1,11:34:07.641173,69
Mackerel,1,11:34:08.854317,71
Mackerel,1,11:34:10.047400,70
Mackerel,1,11:34:11.258524,68
Mackerel,1,11:34:12.469647,69
Mackerel,1,11:34:13.668765,68
Mackerel,1,11:34:14.881892,70
Mackerel,1,11:34:16.081004,66
Mackerel,1,11:34:17.280122,70
Mackerel,1,11:34:18.491243,69
Mackerel,1,11:34:19.704372,69
Mackerel,1,11:34:20.899471,68
Mackerel,1,11:34:22.112614,70
Mackerel,1,11:34:23.307709,68
Mackerel,1,11:34:24.526840,69
Mackerel,1,11:34:25.727956,71
Mackerel,1,11:34:54.136068,75
Mackerel,1,11:34:55.253532,74
Mackerel,1,11:34:56.434239,74
Mackerel,1,11:34:57.636596,75
Mackerel,1,11:34:58.839649,75
Mackerel,1,11:35:00.045768,75
Mackerel,1,11:35:01.252315,75
Mackerel,1,11:35:02.464441,71
Mackerel,1,11:35:03.674061,77
Mackerel,1,11:35:04.878981,71
Mackerel,1,11:35:06.077523,75
Mackerel,1,11:35:07.286147,77
Mackerel,1,11:35:08.486080,74
Mackerel,1,11:35:09.699444,74
Mackerel,1,11:35:10.901554,74
Mackerel,1,11:35:12.112561,71
Mackerel,1,11:35:13.311966,76
Mackerel,1,11:35:14.509796,73
Mackerel,1,11:35:15.727737,75
Mackerel,1,11:35:16.926579,76
Mackerel,1,11:35:18.128212,74
Mackerel,1,11:35:50.493592,69
Mackerel,1,11:35:51.601332,73
Mackerel,1,11:35:52.799071,71
Mackerel,1,11:35:53.997079,73
Mackerel,1,11:35:55.204657,72
Mackerel,1,11:35:56.409384,73
Mackerel,1,11:35:57.614315,72
Mackerel,1,11:35:58.816982,68
Mackerel,1,11:36:00.020999,72
Mackerel,1,11:36:01.234321,69
Mackerel,1,11:36:02.438108,72
Mackerel,1,11:36:03.649495,72
Mackerel,1,11:36:04.842884,67
Mackerel,1,11:36:06.056226,73
Mackerel,1,11:36:07.255340,72
Mackerel,1,11:36:08.468471,69
Mackerel,1,11:36:09.669585,70
Mackerel,1,11:36:10.876709,70
Mackerel,1,11:36:12.087836,73
Mackerel,1,11:36:13.288950,70
Mackerel,1,11:36:14.488063,72
Mackerel,1,11:36:47.340313,75
Mackerel,1,11:36:48.447353,73
Mackerel,1,11:36:49.627393,73
Mackerel,1,11:36:50.842353,74
Mackerel,1,11:36:52.044566,76
Mackerel,1,11:36:53.244466,72
Mackerel,1,11:36:54.446922,73
Mackerel,1,11:36:55.665598,74
Mackerel,1,11:36:56.868876,74
Mackerel,1,11:36:58.067588,74
Mackerel,1,11:36:59.274910,70
Mackerel,1,11:37:00.480272,71
Mackerel,1,11:37:01.679965,75
Mackerel,1,11:37:02.886083,75
Mackerel,1,11:37:04.089096,77
Mackerel,1,11:37:05.293954,75
Mackerel,1,11:37:06.500920,73
Mackerel,1,11:37:07.716584,71
Mackerel,1,11:37:08.914660,72
Mackerel,1,11:37:10.119258,74
